q,trait,reverse
אני נוטה להשתעמם משיחות שעוסקות רק בנושאים יומיומיים ופשוטים.,Openness to Experience,FALSE
אני תמיד מכין תוכנית חלופית (תוכנית ב') למקרה שמשהו ישתבש.,Conscientiousness,FALSE
אני מרגיש בנוח להוביל קבוצה של אנשים שאינני מכיר היטב.,Extraversion,FALSE
אני נוטה להרגיש אשמה כשאני לא עומד בציפיות של עצמי.,Emotionality,FALSE
אני מאמין שכל אדם צריך להרוויח את מעמדו בעבודה קשה ולא בקשרים.,Honesty-Humility,FALSE
אני מעדיף לעבוד על משימה אחת עד להשלמתה המלאה והמושלמת.,Conscientiousness,FALSE
אני נהנה ללמוד על תגליות חדשות בתחום הרפואה והביולוגיה.,Openness to Experience,FALSE
אני מוצא את זה קשה להישאר אדיב כלפי אנשים שמתנהגים בטיפשות.,Agreeableness,TRUE
אני תמיד בודק שכל הנתונים שבידי מדויקים לפני שאני מציג אותם.,Conscientiousness,FALSE
אני מרגיש בנוח להביע חרטה כשאני מבין שפגעתי במישהו.,Honesty-Humility,FALSE
אני נוטה להרגיש לחוץ כשאני צריך לעמוד בלוח זמנים צפוף מאוד.,Emotionality,FALSE
אני נהנה להשתתף בסיעור מוחות שבו עולים רעיונות יוצאי דופן.,Openness to Experience,FALSE
"אני תמיד מקפיד להחזיר כסף שחייבתי, גם אם מדובר בסכום זניח.",Honesty-Humility,FALSE
אני חושב שזה בזבוז זמן להתעכב על רגשות במקום להתקדם בביצוע המשימה.,Emotionality,TRUE
אני מרגיש מלא ביטחון כשאני צריך לקבל החלטה תחת תנאי אי-ודאות.,Extraversion,FALSE
"אני נוטה לקחת ללב כישלונות מקצועיים, גם אם הם קטנים.",Emotionality,FALSE
אני תמיד מנסה למצוא פתרון שיעזור לכולם להרגיש מרוצים.,Agreeableness,FALSE
אני מוצא את זה משעמם לקרוא הוראות הפעלה לפני שאני משתמש במכשיר חדש.,Conscientiousness,TRUE
אני חושב שזה לגיטימי להשתמש בקיצורי דרך כדי לסיים עבודה מהר יותר.,Honesty-Humility,TRUE
אני נהנה לבקר במקומות חדשים שמעולם לא הייתי בהם קודם.,Openness to Experience,FALSE
אני נוטה להרגיש חוסר נוחות כשמחמיאים לי מול אנשים אחרים.,Extraversion,TRUE
אני תמיד מוודא שסביבת העבודה שלי נקייה ומאורגנת היטב.,Conscientiousness,FALSE
אני מרגיש חמלה רבה כלפי אנשים שנמצאים במצוקה נפשית.,Emotionality,FALSE
אני מוצא את זה קל מאוד לשכוח פגיעות ישנות ולהמשיך הלאה.,Agreeableness,FALSE
אני חושב שזה חשוב להקפיד על כללי הטקס והנימוס בכל מצב.,Conscientiousness,FALSE
אני נהנה להיות האדם שמקבל את האורחים במסיבה או אירוע.,Extraversion,FALSE
אני מאמין שכנות מוחלטת היא הבסיס לכל קשר מקצועי.,Honesty-Humility,FALSE
אני נוטה להרגיש סקרנות לגבי האופן שבו המוח האנושי פועל.,Openness to Experience,FALSE
אני תמיד מקפיד לבצע את המטלות שלי בדיוק לפי ההנחיות שניתנו לי.,Conscientiousness,FALSE
אני מרגיש התרגשות רבה כשאני נחשף ליצירת אמנות עוצמתית.,Openness to Experience,FALSE
אני נוטה להישאר רגוע גם כשאנשים מנסים לעורר את כעסי.,Agreeableness,FALSE
אני חושב שצניעות עוזרת לאדם ללמוד ולהשתפר לאורך זמן.,Honesty-Humility,FALSE
אני מרגיש בנוח לשתף אחרים בחוויות האישיות שלי.,Extraversion,FALSE
אני נוטה לדאוג לגבי הבריאות של אנשים שחשובים לי.,Emotionality,FALSE
אני תמיד מחפש דרכים להפוך את העבודה שלי למקצועית יותר.,Conscientiousness,FALSE
אני נהנה לחשוב על הקשרים שבין מדע לפילוסופיה.,Openness to Experience,FALSE
אני מוצא את זה קשה להסתיר את חוסר שביעות הרצון שלי מעבודה גרועה של אחרים.,Agreeableness,TRUE
אני תמיד מוודא שכל המידע שבידי מעודכן ורלוונטי.,Conscientiousness,FALSE
אני חושב שזה בסדר לקחת לעצמי קרדיט אם זה יעזור לצוות שלי להצליח.,Honesty-Humility,TRUE
אני מרגיש רגוע ושלו גם כשאני נמצא תחת עומס עבודה כבד.,Emotionality,TRUE
אני נהנה לקרוא על פיתוחים חדשים בתחום המחשוב והבינה המלאכותית.,Openness to Experience,FALSE
אני נוטה להעדיף סביבה שקטה ומסודרת שבה הכל ידוע מראש.,Conscientiousness,FALSE
אני מרגיש סיפוק כשאני עוזר למישהו להבין נושא מורכב.,Extraversion,FALSE
אני תמיד משתדל להיות ישר עם עצמי לגבי היכולות שלי.,Honesty-Humility,FALSE
אני נוטה להרגיש חוסר ביטחון כשאני צריך לבצע משימה חדשה.,Emotionality,FALSE
אני נהנה לנסות גישות חדשות לפתרון בעיות ישנות.,Openness to Experience,FALSE
אני תמיד מוודא שכל המסמכים שלי חתומים ומאושרים כנדרש.,Conscientiousness,FALSE
אני מוצא את זה קל להתחבר לאנשים מרקע תרבותי שונה משלי.,Extraversion,FALSE
אני תמיד מקפיד לסיים את העבודה שלי לפני שאני יוצא להפסקה.,Conscientiousness,FALSE
אני נהנה להכיר אנשים חדשים באירועים חברתיים גדולים.,Extraversion,FALSE
אני נוטה להישאר רגוע גם כשמישהו מתנהג אליי בחוסר סבלנות.,Agreeableness,FALSE
אני מרגיש בנוח לדבר על ההישגים שלי מבלי להרגיש שחצן.,Extraversion,FALSE
אני מוצא את זה קשה לסלוח לאנשים שפגעו ברגשותיי בכוונה.,Agreeableness,TRUE
אני תמיד מנסה להפיק את המרב מכל סיטואציה חברתית שאני נמצא בה.,Extraversion,FALSE
אני נוטה להתווכח עם אנשים שמעבירים ביקורת על אורח החיים שלי.,Agreeableness,TRUE
אני מרגיש מלא אנרגיה כשאני מוקף בהרבה אנשים.,Extraversion,FALSE
"אני תמיד משתדל לראות את הטוב בכל אדם, גם אם הוא קשה.",Agreeableness,FALSE
אני נוטה להנהיג את השיחה כשאני נמצא עם קבוצת חברים.,Extraversion,FALSE
אני מוצא את זה קשה להסתיר את הכעס שלי כשמישהו לא מקשיב לי.,Agreeableness,TRUE
אני מרגיש בנוח להיות הראשון שמתחיל לדבר בחדר מלא זרים.,Extraversion,FALSE
אני תמיד מנסה למצוא פשרה שתמנע מריבות מיותרות.,Agreeableness,FALSE
אני נהנה להיות זה שמארגן את היציאות החברתיות של הצוות.,Extraversion,FALSE
אני נוטה להגיב בציניות כשמישהו שואל אותי שאלה טיפשית.,Agreeableness,TRUE
אני מרגיש מאוד בטוח בעצמי כשאני צריך להציג רעיון בפני קהל.,Extraversion,FALSE
"אני תמיד משתדל להישאר אדיב, גם כשאני נמצא תחת לחץ כבד.",Agreeableness,FALSE
אני מעדיף לבלות את זמני הפנוי עם חברים מאשר לבד בבית.,Extraversion,FALSE
אני מוצא את זה קשה לקבל דעות שונות מאוד משלי בנושאים פוליטיים.,Agreeableness,TRUE
אני תמיד מחפש הזדמנויות להרחיב את המעגל החברתי שלי.,Extraversion,FALSE
אני נוטה לסלוח מהר מאוד לאנשים שמאכזבים אותי.,Agreeableness,FALSE
אני מרגיש בנוח להביע את שמחתי בקול רם כשאני מצליח במשהו.,Extraversion,FALSE
אני תמיד משתדל להימנע מהטחת ביקורת ישירה מדי באנשים.,Agreeableness,FALSE
אני נהנה להשתתף בדיונים קבוצתיים סוערים ומעניינים.,Extraversion,FALSE
אני נוטה להרגיש חוסר סבלנות כשאנשים מבזבזים את זמני.,Agreeableness,TRUE
אני תמיד מרגיש בטוח ביכולת שלי להרשים אנשים חדשים.,Extraversion,FALSE
אני מוצא את זה קל להישאר נחמד גם לאנשים שאני לא מחבב.,Agreeableness,FALSE
אני נהנה להיות במרכז העניינים כשיש מסיבה או חגיגה.,Extraversion,FALSE
אני נוטה להתווכח על כל פרט קטן כשאני בטוח שאני צודק.,Agreeableness,TRUE
אני מרגיש שהאישיות שלי היא מושכת ומעניינת עבור אחרים.,Extraversion,FALSE
אני תמיד מעדיף לשתף פעולה עם אחרים מאשר להתחרות בהם.,Agreeableness,FALSE
אני מוצא את זה קל מאוד להצחיק אנשים סביבי.,Extraversion,FALSE
אני נוטה להגיב בכעס כשמישהו מזלזל בעבודה שלי.,Agreeableness,TRUE
אני מרגיש רגוע מאוד כשאני צריך לנהל שיחת טלפון חשובה עם אדם זר.,Extraversion,FALSE
אני תמיד משתדל לעזור לאנשים סביבי להרגיש בנוח.,Agreeableness,FALSE
אני נהנה לספר סיפורים וחוויות מול קבוצה של אנשים.,Extraversion,FALSE
אני נוטה להיות מאוד ביקורתי כלפי אנשים שעושים טעויות רבות.,Agreeableness,TRUE
אני מרגיש שיש לי השפעה חיובית על האווירה החברתית בחדר.,Extraversion,FALSE
אני תמיד מוכן לוותר על הנוחות שלי למען השלווה בקבוצה.,Agreeableness,FALSE
אני מעדיף מקומות עבודה רועשים ותוססים על פני משרדים שקטים.,Extraversion,FALSE
אני נוטה לשמור טינה לאנשים שפגעו בי בצורה לא הוגנת.,Agreeableness,TRUE
אני תמיד בודק שהציוד הרפואי שבידי מונח במקומו המדויק.,Conscientiousness,FALSE
אני מרגיש חרדה קלה כשאני צריך לבצע פעולה שאינני מיומן בה.,Emotionality,FALSE
אני מאמין שיושרה חשובה יותר מקידום מהיר בעבודה.,Honesty-Humility,FALSE
אני נהנה לחשוב על הקשר בין פילוסופיה למדעי המוח.,Openness to Experience,FALSE
אני תמיד מקפיד לסיים את הדיווחים שלי לפני שאני עוזב את העבודה.,Conscientiousness,FALSE
אני נוטה לדאוג לגבי הבריאות של המטופלים שלי גם לאחר שעות העבודה.,Emotionality,FALSE
אני לעולם לא אשתמש במידע שקיבלתי בשיחה פרטית כדי להשיג יתרון.,Honesty-Humility,FALSE
אני מוצא עניין רב בלימוד שיטות טיפול חדשניות ולא שגרתיות.,Openness to Experience,FALSE
אני תמיד מוודא שכל הנתונים במערכת מעודכנים עד הפרט האחרון.,Conscientiousness,FALSE
אני מרגיש רגש עז כשאני מצליח לעזור לאדם שנמצא במצוקה קשה.,Emotionality,FALSE
אני מרגיש דאגה עמוקה כשאני שומע על אסונות טבע במקומות רחוקים.,Emotionality,FALSE
אני נהנה לחקור תיאוריות מדעיות שטרם הוכחו סופית.,Openness to Experience,FALSE
אני נוטה להרגיש חוסר ביטחון כשאני צריך לקבל החלטה ללא ליווי מקצועי.,Emotionality,FALSE
אני חושב שזה מרתק ללמוד על הדרך שבה תרבויות עתיקות חיו.,Openness to Experience,FALSE
אני מוצא את עצמי בוכה בקלות כשאני צופה בסיפורי הצלחה מרגשים.,Emotionality,FALSE
אני תמיד מחפש דרכים יצירתיות להפוך את סביבת העבודה שלי לנעימה יותר.,Openness to Experience,FALSE
אני נוטה להרגיש פחד כשאני נמצא במקומות גבוהים או לא יציבים.,Emotionality,FALSE
אני נהנה לקרוא על פריצות דרך בתחום חקר החלל.,Openness to Experience,FALSE
אני מרגיש צורך עז לשוחח עם מישהו כשאני עובר יום קשה.,Emotionality,FALSE
אני חושב שחשוב מאוד להיחשף לסוגים שונים של מוזיקה מרחבי העולם.,Openness to Experience,FALSE
"אני נוטה להילחץ כשאני רואה דם או פציעות, אפילו אם הן קלות.",Emotionality,FALSE
אני נהנה לנסות לפתור בעיות מתמטיות מורכבות רק בשביל האתגר.,Openness to Experience,FALSE
אני מרגיש חוסר אונים כשאני לא מצליח לעזור לאדם קרוב שכואב לו.,Emotionality,FALSE
אני תמיד פתוח לשינויים מרחיקי לכת בשיטות העבודה המקובלות.,Openness to Experience,FALSE
אני נוטה לדאוג לגבי הבטיחות שלי גם כשאני נמצא בסביבה בטוחה.,Emotionality,FALSE
אני מוצא עניין רב בלימוד על המבנה המולקולרי של חומרים.,Openness to Experience,FALSE
אני מרגיש רגש עז של חמלה כשאני רואה אדם קשיש שמתקשה ללכת.,Emotionality,FALSE
אני נהנה לבקר בתערוכות שמציגות טכנולוגיות עתידניות.,Openness to Experience,FALSE
אני נוטה להרגיש חרדה כשאני צריך לעבור בדיקה רפואית בעצמי.,Emotionality,FALSE
אני חושב שזה חשוב להבין את הרקע ההיסטורי של כל תופעה חברתית.,Openness to Experience,FALSE
אני מרגיש צורך בתמיכה רגשית מהמשפחה שלי כשאני נכשל במשהו.,Emotionality,FALSE
אני נהנה לחשוב על האפשרות של חיים על כוכבי לכת אחרים.,Openness to Experience,FALSE
אני נוטה להרגיש פאניקה אם אני לא מוצא את הטלפון שלי מיד.,Emotionality,FALSE
אני תמיד מחפש ספרים שמציעים זווית ראייה חדשה על החיים.,Openness to Experience,FALSE
אני מרגיש אמפתיה רבה כלפי אנשים שחווים בדידות.,Emotionality,FALSE
אני נהנה ללמוד על תהליכים פסיכולוגיים שמשפיעים על קבלת החלטות.,Openness to Experience,FALSE
אני נוטה להרגיש חסר ביטחון כשאני צריך לדבר בשפה שאינני שולט בה היטב.,Emotionality,FALSE
אני חושב שזה בזבוז זמן לדבוק בשיטות עבודה ישנות רק בשל המסורת.,Openness to Experience,FALSE
אני מרגיש רגוע יותר כשיש לידיי מישהו שאני סומך עליו במצבי לחץ.,Emotionality,FALSE
אני נהנה לחקור את הקשר בין תזונה לבריאות הנפש.,Openness to Experience,FALSE
אני נוטה לדאוג לגבי איכות הסביבה והשפעתה על הדורות הבאים.,Emotionality,FALSE
אני תמיד מעדיף לנסות פתרון מקורי מאשר פתרון שגרתי.,Openness to Experience,FALSE
אני מרגיש כאב פיזי כמעט כשאני רואה מישהו אחר נפצע.,Emotionality,FALSE
אני נהנה ללמוד על התפתחויות בתחום האנרגיה הירוקה.,Openness to Experience,FALSE
אני נוטה להרגיש חרדה אם אני לא מקבל תשובה להודעה חשובה תוך זמן קצר.,Emotionality,FALSE
אני חושב שחשוב מאוד לפתח חשיבה ביקורתית כלפי כל מידע שמקבלים.,Openness to Experience,FALSE
אני מרגיש צורך עז לחלוק את ההצלחות שלי עם אנשים שקרובים אליי.,Emotionality,FALSE
אני נהנה ללמוד על מבנה המוח האנושי ופעולתו.,Openness to Experience,FALSE
אני נוטה להרגיש חוסר מנוחה כשאני נמצא במקום סגור לאורך זמן.,Emotionality,FALSE
אני תמיד מחפש דרכים לשלב אמנות ועיצוב בחיי היומיום שלי.,Openness to Experience,FALSE
אני מרגיש סיפוק רב כשאני מצליח לנחם אדם שבוכה.,Emotionality,FALSE
אני נהנה לחקור את ההיסטוריה של האדריכלות בעולם.,Openness to Experience,FALSE
אני נוטה להרגיש פחד כשאני צריך לעבור במקומות חשוכים.,Emotionality,FALSE
אני חושב שחשוב ללמוד על זרמים פילוסופיים שונים מהמזרח והמערב.,Openness to Experience,FALSE
אני מרגיש דאגה רבה כשאני רואה חדשות על סכסוכים בעולם.,Emotionality,FALSE
אני נהנה לנסות ללמוד מיומנויות ידניות חדשות כמו נגרות או פיסול.,Openness to Experience,FALSE
אני נוטה להרגיש חוסר ביטחון כשאני נמצא בחברת אנשים חכמים מאוד.,Emotionality,FALSE
אני תמיד מחפש סרטים שגורמים לי לחשוב עליהם ימים רבים אחרי הצפייה.,Openness to Experience,FALSE
אני מרגיש רגש עז של הכרת תודה כלפי אנשים שעוזרים לי.,Emotionality,FALSE
אני נהנה ללמוד על האופן שבו שפות שונות התפתחו לאורך השנים.,Openness to Experience,FALSE
אני נוטה להרגיש חרדה אם התוכניות שלי משתנות ברגע האחרון.,Emotionality,FALSE
אני חושב שזה מרתק ללמוד על החלל החיצון והגלקסיות.,Openness to Experience,FALSE
אני מרגיש צורך בחיבוק או מגע פיזי כשאני עצוב.,Emotionality,FALSE
אני נהנה לנסות פתרונות טכנולוגיים שנועדו להקל על החיים.,Openness to Experience,FALSE
אני נוטה לדאוג לגבי העתיד המקצועי שלי באופן תמידי.,Emotionality,FALSE
אני תמיד מוכן לשמוע על רעיונות שנראים לאחרים בלתי אפשריים.,Openness to Experience,FALSE
אני מרגיש חמלה רבה כלפי דרי רחוב.,Emotionality,FALSE
אני נהנה ללמוד על הדרך שבה מדענים הגיעו לתגליות הגדולות שלהם.,Openness to Experience,FALSE
אני נוטה להרגיש חוסר נוחות כשאני נמצא בסיטואציה של חוסר ודאות.,Emotionality,FALSE
אני חושב שזה חשוב להעריך את היופי שבפרטים הקטנים של הטבע.,Openness to Experience,FALSE
אני מרגיש אחריות אישית לדאוג לכך שכולם מסביבי יהיו מאושרים.,Emotionality,FALSE
אני נהנה לחקור את ההשפעה של טכנולוגיה על יחסים חברתיים.,Openness to Experience,FALSE
אני נוטה להרגיש חרדה כשאני צריך להתמודד עם בירוקרטיה מסובכת.,Emotionality,FALSE
אני תמיד מחפש דרכים להרחיב את האופקים האינטלקטואליים שלי.,Openness to Experience,FALSE
אני מרגיש צורך חזק להגן על ילדים מפני כל פגיעה.,Emotionality,FALSE
אני נהנה ללמוד על שיטות חקירה משטרתיות ומדעי הפורנזיקה.,Openness to Experience,FALSE
אני נוטה להרגיש פחד כשאני שומע רעשים מוזרים בלילה.,Emotionality,FALSE
אני חושב שזה חיוני להיחשף לדעות פוליטיות מנוגדות לשלי.,Openness to Experience,FALSE
אני מרגיש התרגשות רבה כשאני רואה מופע מחול מקצועי.,Openness to Experience,FALSE
אני נוטה לדאוג לגבי הבריאות הנפשית של חברי הקרובים.,Emotionality,FALSE
אני נהנה ללמוד על הקשר שבין פיזיקה למוזיקה.,Openness to Experience,FALSE
אני מרגיש חוסר ביטחון כשאני צריך לבצע משימה פיזית מאתגרת.,Emotionality,FALSE
אני תמיד מחפש דרכים לשפר את היצירתיות שלי בפתרון בעיות.,Openness to Experience,FALSE
אני מרגיש סיפוק רב כשאני מצליח לעזור לאדם להתגבר על פחד.,Emotionality,FALSE
אני נהנה לחקור את האבולוציה של בעלי החיים.,Openness to Experience,FALSE
אני נוטה להרגיש חרדה כשאני נמצא במקום הומה אדם.,Emotionality,FALSE
אני חושב שזה חשוב להבין את המורכבות של הכלכלה העולמית.,Openness to Experience,FALSE
אני מרגיש רגש עז כשאני קורא סיפור על גבורה אנושית.,Emotionality,FALSE
אני נהנה ללמוד על הדרכים שבהן ניתן להאריך את חיי האדם.,Openness to Experience,FALSE
"אני נוטה להרגיש פחד מפני מחלות קשות, גם אם אין סימנים לכך.",Emotionality,FALSE
אני תמיד פתוח ללמוד שיטות למידה חדשות ויעילות יותר.,Openness to Experience,FALSE
אני מרגיש צורך עז להיות חלק מקהילה תומכת.,Emotionality,FALSE
אני נהנה לחקור את ההבדלים התרבותיים בדרכי הטיפול הרפואי.,Openness to Experience,FALSE
אני נוטה לדאוג לגבי ההשפעה של המעשים שלי על אחרים.,Emotionality,FALSE
אני חושב שחשוב להשקיע זמן בלימוד אמנויות לחימה או הגנה עצמית.,Openness to Experience,FALSE
אני מרגיש חמלה רבה כלפי אנשים שאיבדו את ביתם.,Emotionality,FALSE
אני נהנה ללמוד על ההיסטוריה של המצאת התרופות.,Openness to Experience,FALSE
אני נוטה להרגיש חוסר ביטחון כשאני צריך להוביל פרויקט חדשני.,Emotionality,FALSE
אני תמיד מחפש הזדמנויות לחוות חוויות רגשיות עוצמתיות.,Emotionality,FALSE
אני נהנה לחקור את הקשר שבין דת למדע לאורך ההיסטוריה.,Openness to Experience,FALSE
אני נוטה להרגיש חרדה כשאני נמצא בסביבה לא סטרילית.,Emotionality,FALSE
אני חושב שזה חשוב להעריך את הגיוון הביולוגי שיש בעולם.,Openness to Experience,FALSE
אני מרגיש אחריות לדאוג לרווחתם של האנשים שעובדים איתי.,Emotionality,FALSE
אני נהנה ללמוד על האופן שבו הבינה המלאכותית משפיעה על הרפואה.,Openness to Experience,FALSE
אני נוטה להרגיש פחד כשאני צריך לעבור הליך רפואי פולשני.,Emotionality,FALSE
אני תמיד מחפש דרכים להפוך את העולם למקום טוב יותר עבור כולם.,Openness to Experience,FALSE
אני מרגיש רגש עז כשאני רואה את הים בזמן סערה.,Openness to Experience,FALSE
אני נוטה לדאוג לגבי הבטיחות בדרכים באופן תמידי.,Emotionality,FALSE
אני נהנה ללמוד על הדרכים שבהן המוח מעבד מידע חזותי.,Openness to Experience,FALSE
אני מרגיש צורך עז להגן על חלשים בחברה.,Emotionality,FALSE
אני תמיד מקפיד לבדוק את הוראות היצרן לפני שאני משתמש במכשיר רפואי חדש.,Conscientiousness,FALSE
אני מרגיש סיפוק רב כשאני מצליח להסביר נושא מורכב למטופל בצורה פשוטה.,Agreeableness,FALSE
"לעולם לא אעגל פינות בדיווח רפואי, גם אם זה ידרוש ממני שעות נוספות.",Honesty-Humility,FALSE
אני נהנה להוביל את צוות העבודה שלי במצבי לחץ ואי-ודאות.,Extraversion,FALSE
אני מרגיש דאגה עמוקה כשאני יודע שמטופל שלי סובל מכאבים.,Emotionality,FALSE
אני תמיד מחפש לקרוא מחקרים חדשים כדי לעדכן את שיטות העבודה שלי.,Openness to Experience,FALSE
"אני חושב שזה בסדר לקבל ""טיפ"" כספי ממטופל כדי להקדים לו תור.",Honesty-Humility,TRUE
אני תמיד מוודא שסביבת הטיפול שלי נקייה ומאורגנת בצורה מופתית.,Conscientiousness,FALSE
אני נוטה להישאר רגוע ונינוח גם כשמטופל מדבר אליי בחוסר סבלנות.,Agreeableness,FALSE
אני מרגיש מלא אנרגיה כשאני נמצא במחלקה עמוסה באנשים.,Extraversion,FALSE
אני מוצא את עצמי חושב על המקרים הרפואיים שראיתי גם כשאני בבית.,Emotionality,FALSE
אני תמיד מוכן להודות בטעות מקצועית מול הקולגות שלי.,Honesty-Humility,FALSE
אני מעדיף לעבוד לפי פרוטוקולים נוקשים מאשר לאלתר פתרונות בשטח.,Conscientiousness,FALSE
קשה לי מאוד לסלוח לקולגה שהכשיל אותי בביצוע משימה.,Agreeableness,TRUE
אני מרגיש בנוח להיות זה שמעביר את הבשורות הקשות למשפחה.,Extraversion,FALSE
אני נוטה להיבהל כשאני נתקל במקרה חירום רפואי לא צפוי.,Emotionality,FALSE
אני מאמין שצניעות היא התכונה החשובה ביותר עבור מטפל.,Honesty-Humility,FALSE
אני תמיד בודק פעמיים את המינונים של תרופות שאני רושם.,Conscientiousness,FALSE
אני מוצא עניין רב בהקשבה לסיפורי החיים האישיים של המטופלים שלי.,Agreeableness,FALSE
אני נוטה להסתגר בעצמי כשיש עומס עבודה גדול מדי במחלקה.,Extraversion,TRUE
אני לעולם לא אשתמש בסמכות שלי כדי להשפיל מישהו מתחתיי בדרגה.,Honesty-Humility,FALSE
אני תמיד מתכנן את סדר הפעולות שלי לפני תחילת המשמרת.,Conscientiousness,FALSE
אני מרגיש פגוע מאוד כשאנשים מבקרים את היכולות המקצועיות שלי.,Agreeableness,TRUE
אני נהנה ללמד סטודנטים ומתמחים צעירים את מה שאני יודע.,Extraversion,FALSE
אני תמיד מוודא שכל המכשירים סביבי מכובים ומאובטחים לפני שאני עוזב.,Conscientiousness,FALSE
"אני חושב שיושרה מקצועית חשובה יותר מלהיות ""אהוב"" על כולם.",Honesty-Humility,FALSE
אני מרגיש חסר סבלנות כשאנשים מסביבי מתלוננים על בעיות קטנות.,Agreeableness,TRUE
אני נהנה להציג מקרים רפואיים מול קהל גדול של רופאים.,Extraversion,FALSE
אני תמיד מקפיד לתעד כל פעולה רפואית מיד לאחר ביצועה.,Conscientiousness,FALSE
אני מאמין שכבוד למטופל הוא בסיס הכרחי לכל טיפול מוצלח.,Honesty-Humility,FALSE
אני נוטה להגיב בכעס כשמישהו משבש לי את תוכנית העבודה.,Agreeableness,TRUE
אני מרגיש בשיאי כשאני צריך לנהל כמה משימות במקביל.,Extraversion,FALSE
אני תמיד בודק שהמטופל הבין את ההנחיות שלי עד הסוף.,Conscientiousness,FALSE
אני לעולם לא אסתיר מידע חשוב מהצוות כדי להיראות טוב יותר.,Honesty-Humility,FALSE
אני מוצא את זה קשה להישאר אדיב כלפי אנשים שמתנהגים בבוטות.,Agreeableness,TRUE
אני נהנה לקחת אחריות על מקרים מורכבים שאחרים חוששים מהם.,Extraversion,FALSE
אני תמיד מוודא שכל הכלים בהם השתמשתי חזרו למקומם.,Conscientiousness,FALSE
אני מאמין שחובתו של רופא היא להישאר מעודכן בטכנולוגיות החדשות ביותר.,Conscientiousness,FALSE
אני נוטה להרגיש אשמה אם אני לא מספיק לעזור לכל מי שפנה אליי.,Agreeableness,FALSE
אני מרגיש בנוח לדבר על הנושאים הכי רגישים עם זרים מוחלטים.,Extraversion,FALSE
המדינה צריכה יותר לדאוג לאנשים משכבות חלשות,Agreeableness,FALSE
כשאני מצליח בעבודתי אני מספר זאת לכולם,Extraversion,FALSE
אני מובך לקבל מחמאות,Honesty-Humility,FALSE
אני אוהב מוזיקה רועשת,Extraversion,FALSE
אני אוהב יעדים אקזוטיים,Openness to Experience,FALSE
אני שואף להצליח במה שאני עושה,Conscientiousness,FALSE
אני חושש לנסוע במצבי מזג אוויר קיצוני,Emotionality,FALSE
אני מפחד לגור במקומות מסוכנים,Emotionality,FALSE
חבריי פונים אלי בשעת צרה,Agreeableness,FALSE
הייתי רוצה לטייל בעולם בכדור פורח,Openness to Experience,FALSE
אני עושה מה שהבוס שלי אומר גם אם אני לא מסכים שזה הדבר הנכון,Agreeableness,FALSE
"לא הייתי משתמש בחנופה כדי לקבל העלאה, גם אם חשבתי שזה יצליח",Honesty-Humility,FALSE
לעיתים קרובות כשאני מנסה להשיג מטרה אני דוחף את עצמי קשה מאוד,Conscientiousness,FALSE
"אם אדע שלעולם לא יתפסו אותי, הייתי מוכן לגנוב מיליון דולר",Honesty-Humility,TRUE
אני חושב שמגיע לי יותר כבוד מזה המגיע לאדם הממוצע,Honesty-Humility,TRUE
אני משתדל שלא להעביר ביקורת על אנשים ליד אחרים.,Agreeableness,FALSE
אני נוטה להסכים עם דעת הרוב כדי למנוע ויכוחים מיותרים.,Agreeableness,FALSE
קל לי מאוד להבין ולסלוח לאנשים שטועים.,Agreeableness,FALSE
אני נהנה לעזור לאנשים גם אם זה דורש ממני מאמץ נוסף.,Agreeableness,FALSE
אני תמיד מנסה למצוא את המשותף ביני לבין אנשים שאני פוגש.,Agreeableness,FALSE
אני מעדיף לוותר על הצדק שלי בשביל השקט התעשייתי.,Agreeableness,FALSE
"אני תמיד מדבר ברוגע, גם כשאני מאוד כועס.",Agreeableness,FALSE
אני נוטה להחמיא לאנשים על העבודה הטובה שהם עושים.,Agreeableness,FALSE
אני מוכן להקשיב לבעיות של אחרים במשך זמן רב.,Agreeableness,FALSE
"אני מרגיש רע אם אני צריך להגיד למישהו ""לא"".",Agreeableness,FALSE
אני תמיד מחפש איך לשפר את האווירה בצוות שלי.,Agreeableness,FALSE
אני נוטה להבליג על הערות פוגעניות כדי לא להרוס את הערב.,Agreeableness,FALSE
אני מאמין שרוב האנשים הם טובים מיסודם.,Agreeableness,FALSE
אני תמיד משתדל להיות סבלני עם ילדים או קשישים.,Agreeableness,FALSE
אני נהנה לחלוק את הידע שלי עם אחרים ללא תמורה.,Agreeableness,FALSE
אני מקפיד לרשום כל הוצאה כספית קטנה שלי.,Conscientiousness,FALSE
אני תמיד מוודא שהמפתחות שלי נמצאים באותו מקום קבוע.,Conscientiousness,FALSE
אני נוטה לסיים את המטלות שלי הרבה לפני הדד-ליין.,Conscientiousness,FALSE
אני בודק את המיילים שלי בצורה מסודרת כמה פעמים ביום.,Conscientiousness,FALSE
אני תמיד מכין לעצמי סדר יום כתוב בבוקר.,Conscientiousness,FALSE
אני נוטה להשקיע הרבה מחשבה בארגון הארון שלי.,Conscientiousness,FALSE
"אני תמיד עומד במילה שלי, גם אם זה לא נוח לי.",Conscientiousness,FALSE
אני מקפיד על תזונה מסודרת ושעות שינה קבועות.,Conscientiousness,FALSE
אני תמיד מחזיר ספרים לספרייה בדיוק בזמן.,Conscientiousness,FALSE
אני נוטה לבדוק את לחץ האוויר בגלגלים באופן קבוע.,Conscientiousness,FALSE
